,description,project,duration,expected_duration,started_at,ended_at,project_hex_color
125,15min/寝る,休憩,1930,900.0,2019-05-16T16:51:44+09:00,2019-05-16T17:23:54+09:00,#fb8b14
126,60min/情報工学5の課題,大学課題,2794,3600.0,2019-05-16T16:05:00+09:00,2019-05-16T16:51:34+09:00,#06aaf5
127,20min/プログラミング演習の課題、一つの問題,大学課題,1543,1200.0,2019-05-16T09:04:30+09:00,2019-05-16T09:30:13+09:00,#06aaf5
128,60min/英語の映画見る,院留学,5911,3600.0,2019-05-16T07:06:48+09:00,2019-05-16T08:45:19+09:00,#04bb9b
129,150min/プログラミング演習の課題終わらせる,大学課題,2666,9000.0,2019-05-15T23:40:56+09:00,2019-05-16T00:25:22+09:00,#06aaf5
130,90min/情報工学5の課題,大学課題,8586,5400.0,2019-05-15T20:45:06+09:00,2019-05-15T23:08:12+09:00,#06aaf5
131,10min/日報と次週のシフトを入れる,インターン,614,600.0,2019-05-15T20:34:50+09:00,2019-05-15T20:45:04+09:00,#205500
132,90min/情報工学5の課題,大学課題,298,5400.0,2019-05-15T20:29:38+09:00,2019-05-15T20:34:36+09:00,#06aaf5
133,150min/プログラミング演習の課題終わらせる,大学課題,2048,9000.0,2019-05-15T16:27:39+09:00,2019-05-15T17:01:47+09:00,#06aaf5
134,30min/別テーブルもdockerで立ち上げられるようにする,インターン,2105,1800.0,2019-05-15T15:20:54+09:00,2019-05-15T15:55:59+09:00,#205500
135,30min/pbのdb、dockerで立ち上げるやつ、マージまで,インターン,3259,1800.0,2019-05-15T15:01:19+09:00,2019-05-15T15:55:38+09:00,#205500
136,10min/トイレ行く,休憩,291,600.0,2019-05-15T14:40:50+09:00,2019-05-15T14:45:41+09:00,#fb8b14
137,S3へのVPCエンドポイントが正常動作しているかどうかの検証,インターン,568,,2019-05-15T14:31:13+09:00,2019-05-15T14:40:41+09:00,#205500
138,30min/pbのdb、dockerで立ち上げるやつ、マージまで,インターン,2592,1800.0,2019-05-15T13:46:50+09:00,2019-05-15T14:30:02+09:00,#205500
139,40min/pbのdumpファイル取得のためにdockerを立ち上げて接続しそのファイルを取得,インターン,3657,2400.0,2019-05-15T11:45:22+09:00,2019-05-15T12:46:19+09:00,#205500
140,120min/pbのdbセッティングをマージまで,インターン,3600,7200.0,2019-05-15T10:09:12+09:00,2019-05-15T11:09:12+09:00,#205500
141,10min/タスクの把握,インターン,608,600.0,2019-05-15T09:35:33+09:00,2019-05-15T09:45:41+09:00,#205500
142,60min/情報工学5の課題,大学課題,466,3600.0,2019-05-15T08:36:00+09:00,2019-05-15T08:43:46+09:00,#06aaf5
143,30min/ミッションインポッシブル,院留学,4892,1800.0,2019-05-15T06:57:59+09:00,2019-05-15T08:19:31+09:00,#04bb9b
144,60min/情報工学5の課題,大学課題,5697,3600.0,2019-05-14T22:23:35+09:00,2019-05-14T23:58:32+09:00,#06aaf5
145,40min/部屋の片付けする,その他,5194,2400.0,2019-05-14T20:48:51+09:00,2019-05-14T22:15:25+09:00,#c56bff
146,120min/OpenDataStructure読んで情報数理科学2の課題終わらせる,大学課題,4392,7200.0,2019-05-14T19:35:29+09:00,2019-05-14T20:48:41+09:00,#06aaf5
147,120min/OpenDataStructure読んで情報数理科学2の課題終わらせる,大学課題,2618,7200.0,2019-05-14T18:18:49+09:00,2019-05-14T19:02:27+09:00,#06aaf5
148,60min/LGTMのホームページデザイン修正,デザイン,9960,3600.0,2019-05-14T15:23:57+09:00,2019-05-14T18:09:57+09:00,#e20505
149,15min/寝る,休憩,622,900.0,2019-05-14T13:52:21+09:00,2019-05-14T14:02:43+09:00,#fb8b14
150,15min/寝る,休憩,1571,900.0,2019-05-14T13:25:35+09:00,2019-05-14T13:51:46+09:00,#fb8b14
151,15min/夏生が昔書いた記事を少し読んでみる,,1459,900.0,2019-05-14T13:01:09+09:00,2019-05-14T13:25:28+09:00,
152,20min/思考過程をブログに綴る,,443,1200.0,2019-05-14T12:53:34+09:00,2019-05-14T13:00:57+09:00,
153,60min/TOEFLライティングQuestion2解き直し,院留学,2816,3600.0,2019-05-13T17:46:39+09:00,2019-05-13T18:33:35+09:00,#04bb9b
154,ゲームする,休憩,771,,2019-05-13T17:33:46+09:00,2019-05-13T17:46:37+09:00,#fb8b14
155,30min/TOEFLライティングQuestion2,院留学,64,1800.0,2019-05-13T17:32:41+09:00,2019-05-13T17:33:45+09:00,#04bb9b
156,30min/TOEFLライティングQuestion2,院留学,646,1800.0,2019-05-13T08:27:10+09:00,2019-05-13T08:37:56+09:00,#04bb9b
157,30min/TOEFLライティングQuestion2,院留学,1252,1800.0,2019-05-13T08:01:31+09:00,2019-05-13T08:22:23+09:00,#04bb9b
158,30min/TOEFLライティングQuestion2,院留学,638,1800.0,2019-05-13T07:50:51+09:00,2019-05-13T08:01:29+09:00,#04bb9b
159,60min/Mission imposssible,院留学,3266,3600.0,2019-05-13T06:41:08+09:00,2019-05-13T07:35:34+09:00,#04bb9b
160,30min/科学技術社会論、スタートアップ年表,大学課題,1300,1800.0,2019-05-12T22:38:10+09:00,2019-05-12T22:59:50+09:00,#06aaf5
161,30min/科学技術社会論、スタートアップ年表,大学課題,987,1800.0,2019-05-12T20:44:55+09:00,2019-05-12T21:01:22+09:00,#06aaf5
162,30min/LGTMの文言ブラッシュアップ,コミュニティ運営,13,1800.0,2019-05-12T20:33:08+09:00,2019-05-12T20:33:21+09:00,#890000
163,30min/LGTMの文言ブラッシュアップ,コミュニティ運営,1367,1800.0,2019-05-12T18:23:04+09:00,2019-05-12T18:45:51+09:00,#890000
164,ゲームする,休憩,401,,2019-05-12T18:12:56+09:00,2019-05-12T18:19:37+09:00,#fb8b14
165,60min/TOEFLライティングQuestion2の解き直し,院留学,6680,3600.0,2019-05-12T16:19:17+09:00,2019-05-12T18:10:37+09:00,#04bb9b
166,30min/TOEFLライティングQuestion2,院留学,1913,1800.0,2019-05-12T15:47:20+09:00,2019-05-12T16:19:13+09:00,#04bb9b
167,120min/部屋片付け&整理&家事,その他,9105,7200.0,2019-05-12T09:34:04+09:00,2019-05-12T12:05:49+09:00,#c56bff
168,60min/Watch the flash,院留学,5578,3600.0,2019-05-12T06:54:05+09:00,2019-05-12T08:27:03+09:00,#04bb9b
169,60min/TogglのデータをDjangoのグラフで表示できるようにする,エンジニアリング,2412,3600.0,2019-05-11T21:02:51+09:00,2019-05-11T21:43:03+09:00,#3750b5
170,60min/TogglのデータをDjangoのグラフで表示できるようにする,エンジニアリング,1356,3600.0,2019-05-11T19:52:00+09:00,2019-05-11T20:14:36+09:00,#3750b5
171,ゲームする,休憩,364,,2019-05-11T19:45:56+09:00,2019-05-11T19:52:00+09:00,#fb8b14
172,60min/TogglのデータをDjangoのグラフで表示できるようにする,エンジニアリング,5416,3600.0,2019-05-11T18:15:33+09:00,2019-05-11T19:45:49+09:00,#3750b5
173,60min/TogglのデータをDjangoのグラフで表示できるようにする,エンジニアリング,2393,3600.0,2019-05-10T18:12:39+09:00,2019-05-10T18:52:32+09:00,#3750b5
174,部屋の片付けをする,その他,1928,,2019-05-10T11:17:29+09:00,2019-05-10T11:49:37+09:00,#c56bff
175,ゲームする,休憩,598,,2019-05-10T11:07:22+09:00,2019-05-10T11:17:20+09:00,#fb8b14
176,60min/TogglのデータをDjangoのグラフで表示できるようにする,エンジニアリング,3,3600.0,2019-05-10T11:07:18+09:00,2019-05-10T11:07:21+09:00,#3750b5
177,60min/TogglのデータをDjangoのグラフで表示できるようにする,エンジニアリング,2186,3600.0,2019-05-10T10:30:56+09:00,2019-05-10T11:07:22+09:00,#3750b5
178,ゲームする,休憩,468,,2019-05-10T10:22:23+09:00,2019-05-10T10:30:11+09:00,#fb8b14
179,60min/TogglのデータをDjangoのグラフで表示できるようにする,エンジニアリング,2432,3600.0,2019-05-10T09:41:50+09:00,2019-05-10T10:22:22+09:00,#3750b5
180,部屋の片付けをする,その他,6,,2019-05-10T09:25:35+09:00,2019-05-10T09:25:41+09:00,#c56bff
181,60min/TogglのデータをDjangoのグラフで表示できるようにする,エンジニアリング,312,3600.0,2019-05-10T09:20:18+09:00,2019-05-10T09:25:30+09:00,#3750b5
182,90min/Togglデータのデータ分析,エンジニアリング,5843,5400.0,2019-05-09T23:03:23+09:00,2019-05-10T00:40:46+09:00,#3750b5
183,30min/watch Lucifer without subtitles,院留学,2289,1800.0,2019-05-09T21:25:02+09:00,2019-05-09T22:03:11+09:00,#04bb9b
184,30min/TOEFLリスニング見直し,院留学,4413,1800.0,2019-05-09T18:38:59+09:00,2019-05-09T19:52:32+09:00,#04bb9b
185,30min/TOEFLライティングQuestion2,院留学,1847,1800.0,2019-05-09T18:07:56+09:00,2019-05-09T18:38:43+09:00,#04bb9b
186,ゲームする,休憩,220,,2019-05-09T18:04:15+09:00,2019-05-09T18:07:55+09:00,#fb8b14
187,眠いので寝る,休憩,1109,,2019-05-09T17:45:44+09:00,2019-05-09T18:04:13+09:00,#fb8b14
